string_protein	cluster_id	ncbi_taxid
335543.Sfum_1859	CL:52	335543
335543.Sfum_1859	CL:100	335543
335543.Sfum_1859	CL:101	335543
335543.Sfum_1859	CL:102	335543
335543.Sfum_1859	CL:44	335543
335543.Sfum_1859	CL:0	335543
335543.Sfum_1859	CL:31	335543
335543.Sfum_1859	CL:35	335543
335543.Sfum_1859	CL:39	335543
335543.Sfum_1859	CL:49	335543
335543.Sfum_1859	CL:55	335543
335543.Sfum_1859	CL:58	335543
335543.Sfum_1859	CL:60	335543
335543.Sfum_1859	CL:6193	335543
335543.Sfum_1859	CL:6192	335543
335543.Sfum_1859	CL:64	335543
335543.Sfum_1859	CL:72	335543
335543.Sfum_1859	CL:6415	335543
335543.Sfum_1859	CL:6416	335543
335543.Sfum_1859	CL:6418	335543
335543.Sfum_1859	CL:6420	335543
335543.Sfum_1859	CL:67	335543
335543.Sfum_1859	CL:81	335543
335543.Sfum_1859	CL:77	335543
335543.Sfum_1859	CL:91	335543
335543.Sfum_1859	CL:86	335543
335543.Sfum_1859	CL:85	335543
335543.Sfum_1859	CL:88	335543
335543.Sfum_1859	CL:98	335543
335543.Sfum_1859	CL:93	335543
335543.Sfum_1859	CL:95	335543
335543.Sfum_1859	CL:97	335543
335543.Sfum_1859	CL:94	335543
335543.Sfum_1859	CL:96	335543
335543.Sfum_1859	CL:99	335543
411460.RUMTOR_02903	CL:0	411460
411460.RUMTOR_02901	CL:0	411460
411460.RUMTOR_02753	CL:37	411460
411460.RUMTOR_02753	CL:1631	411460
411460.RUMTOR_02753	CL:1636	411460
411460.RUMTOR_02753	CL:1638	411460
411460.RUMTOR_02753	CL:22	411460
411460.RUMTOR_02753	CL:0	411460
411460.RUMTOR_02753	CL:13	411460
411460.RUMTOR_02753	CL:15	411460
411460.RUMTOR_02753	CL:1632	411460
411460.RUMTOR_02753	CL:1633	411460
411460.RUMTOR_02753	CL:1634	411460
411460.RUMTOR_02753	CL:19	411460
411460.RUMTOR_02753	CL:25	411460
411460.RUMTOR_02753	CL:28	411460
411460.RUMTOR_02753	CL:31	411460
411460.RUMTOR_02753	CL:33	411460
411460.RUMTOR_02753	CL:35	411460
411460.RUMTOR_02753	CL:39	411460
411460.RUMTOR_02753	CL:38	411460
411460.RUMTOR_02753	CL:41	411460
411460.RUMTOR_02753	CL:40	411460
411460.RUMTOR_02753	CL:43	411460
411460.RUMTOR_02753	CL:42	411460
411460.RUMTOR_02753	CL:44	411460
411460.RUMTOR_02753	CL:57	411460
411460.RUMTOR_02753	CL:49	411460
411460.RUMTOR_02753	CL:51	411460
411460.RUMTOR_02753	CL:53	411460
411460.RUMTOR_02753	CL:45	411460
411460.RUMTOR_02753	CL:47	411460
411460.RUMTOR_02753	CL:48	411460
411460.RUMTOR_02753	CL:50	411460
411460.RUMTOR_02753	CL:52	411460
411460.RUMTOR_02753	CL:54	411460
411460.RUMTOR_02753	CL:55	411460
411460.RUMTOR_02753	CL:56	411460
411460.RUMTOR_02753	CL:58	411460
411460.RUMTOR_02753	CL:60	411460
411460.RUMTOR_02753	CL:59	411460
411460.RUMTOR_02753	CL:61	411460
411460.RUMTOR_02753	CL:65	411460
411460.RUMTOR_02753	CL:64	411460
411460.RUMTOR_02753	CL:62	411460
411460.RUMTOR_02753	CL:63	411460
411460.RUMTOR_02753	CL:68	411460
411460.RUMTOR_02753	CL:66	411460
411460.RUMTOR_02753	CL:67	411460
411460.RUMTOR_02753	CL:69	411460
411460.RUMTOR_02560	CL:25	411460
411460.RUMTOR_02560	CL:0	411460
411460.RUMTOR_02560	CL:19	411460
411460.RUMTOR_02560	CL:22	411460
411460.RUMTOR_02560	CL:13	411460
411460.RUMTOR_02560	CL:15	411460
411460.RUMTOR_02560	CL:70	411460
411460.RUMTOR_02560	CL:28	411460
411460.RUMTOR_02560	CL:33	411460
411460.RUMTOR_02560	CL:35	411460
411460.RUMTOR_02560	CL:39	411460
411460.RUMTOR_02560	CL:41	411460
411460.RUMTOR_02560	CL:44	411460
411460.RUMTOR_02560	CL:45	411460
411460.RUMTOR_02560	CL:50	411460
411460.RUMTOR_02560	CL:51	411460
411460.RUMTOR_02560	CL:52	411460
411460.RUMTOR_02560	CL:53	411460
411460.RUMTOR_02560	CL:56	411460
411460.RUMTOR_02560	CL:57	411460
411460.RUMTOR_02560	CL:58	411460
411460.RUMTOR_02560	CL:59	411460
411460.RUMTOR_02560	CL:62	411460
411460.RUMTOR_02560	CL:63	411460
411460.RUMTOR_02560	CL:64	411460
411460.RUMTOR_02560	CL:67	411460
411460.RUMTOR_02560	CL:68	411460
411460.RUMTOR_02560	CL:31	411460
411460.RUMTOR_02560	CL:37	411460
411460.RUMTOR_02560	CL:38	411460
411460.RUMTOR_02560	CL:40	411460
411460.RUMTOR_02560	CL:42	411460
411460.RUMTOR_02560	CL:43	411460
411460.RUMTOR_02560	CL:47	411460
411460.RUMTOR_02560	CL:48	411460
411460.RUMTOR_02560	CL:49	411460
411460.RUMTOR_02560	CL:54	411460
411460.RUMTOR_02560	CL:55	411460
411460.RUMTOR_02560	CL:60	411460
411460.RUMTOR_02560	CL:61	411460
411460.RUMTOR_02560	CL:65	411460
411460.RUMTOR_02560	CL:66	411460
411460.RUMTOR_02560	CL:69	411460
411460.RUMTOR_02560	CL:71	411460
411460.RUMTOR_02560	CL:828	411460
411460.RUMTOR_02560	CL:72	411460
411460.RUMTOR_02560	CL:826	411460
411460.RUMTOR_02560	CL:827	411460
411460.RUMTOR_02560	CL:829	411460
411460.RUMTOR_02560	CL:834	411460
411460.RUMTOR_02560	CL:830	411460
411460.RUMTOR_02560	CL:831	411460
411460.RUMTOR_02560	CL:832	411460
411460.RUMTOR_02560	CL:836	411460
411460.RUMTOR_02560	CL:835	411460
411460.RUMTOR_02560	CL:838	411460
411460.RUMTOR_02560	CL:837	411460
411460.RUMTOR_02560	CL:841	411460
411460.RUMTOR_02560	CL:840	411460
411460.RUMTOR_02560	CL:844	411460
411460.RUMTOR_02560	CL:839	411460
411460.RUMTOR_02560	CL:842	411460
411460.RUMTOR_02560	CL:848	411460
411460.RUMTOR_02560	CL:845	411460
411460.RUMTOR_02560	CL:853	411460
411460.RUMTOR_02560	CL:857	411460
411460.RUMTOR_02560	CL:846	411460
411460.RUMTOR_02560	CL:855	411460
411460.RUMTOR_02560	CL:858	411460
411460.RUMTOR_02560	CL:859	411460
411460.RUMTOR_02425	CL:25	411460
411460.RUMTOR_02425	CL:0	411460
411460.RUMTOR_02425	CL:15	411460
411460.RUMTOR_02425	CL:13	411460
411460.RUMTOR_02425	CL:19	411460
411460.RUMTOR_02425	CL:22	411460
411460.RUMTOR_02425	CL:31	411460
411460.RUMTOR_02425	CL:263	411460
411460.RUMTOR_02425	CL:28	411460
411460.RUMTOR_02425	CL:37	411460
411460.RUMTOR_02425	CL:33	411460
411460.RUMTOR_02425	CL:35	411460
411460.RUMTOR_02425	CL:40	411460
411460.RUMTOR_02425	CL:38	411460
411460.RUMTOR_02425	CL:39	411460
411460.RUMTOR_02425	CL:41	411460
411460.RUMTOR_02425	CL:51	411460
411460.RUMTOR_02425	CL:42	411460
411460.RUMTOR_02425	CL:43	411460
411460.RUMTOR_02425	CL:44	411460
411460.RUMTOR_02425	CL:418	411460
411460.RUMTOR_02425	CL:45	411460
411460.RUMTOR_02425	CL:47	411460
411460.RUMTOR_02425	CL:48	411460
411460.RUMTOR_02425	CL:49	411460
411460.RUMTOR_02425	CL:50	411460
411460.RUMTOR_02425	CL:63	411460
411460.RUMTOR_02425	CL:52	411460
411460.RUMTOR_02425	CL:53	411460
411460.RUMTOR_02425	CL:54	411460
411460.RUMTOR_02425	CL:55	411460
411460.RUMTOR_02425	CL:56	411460
411460.RUMTOR_02425	CL:57	411460
411460.RUMTOR_02425	CL:58	411460
411460.RUMTOR_02425	CL:59	411460
411460.RUMTOR_02425	CL:60	411460
411460.RUMTOR_02425	CL:61	411460
411460.RUMTOR_02425	CL:62	411460
411460.RUMTOR_02425	CL:65	411460
411460.RUMTOR_02425	CL:64	411460
411460.RUMTOR_02425	CL:72	411460
411460.RUMTOR_02425	CL:66	411460
411460.RUMTOR_02425	CL:67	411460
411460.RUMTOR_02425	CL:69	411460
411460.RUMTOR_02425	CL:68	411460
411460.RUMTOR_02425	CL:70	411460
411460.RUMTOR_02425	CL:71	411460
411460.RUMTOR_02425	CL:73	411460
411460.RUMTOR_02425	CL:74	411460
411460.RUMTOR_02425	CL:75	411460
411460.RUMTOR_02425	CL:76	411460
411460.RUMTOR_02425	CL:77	411460
411460.RUMTOR_01612	CL:31	411460
411460.RUMTOR_01612	CL:0	411460
411460.RUMTOR_01612	CL:13	411460
411460.RUMTOR_01612	CL:19	411460
411460.RUMTOR_01612	CL:22	411460
411460.RUMTOR_01612	CL:25	411460
411460.RUMTOR_01612	CL:15	411460
411460.RUMTOR_01612	CL:28	411460
411460.RUMTOR_01612	CL:33	411460
411460.RUMTOR_01612	CL:42	411460
411460.RUMTOR_01612	CL:35	411460
411460.RUMTOR_01612	CL:37	411460
411460.RUMTOR_01612	CL:38	411460
411460.RUMTOR_01612	CL:41	411460
411460.RUMTOR_01612	CL:39	411460
411460.RUMTOR_01612	CL:40	411460
411460.RUMTOR_01612	CL:44	411460
411460.RUMTOR_01612	CL:51	411460
411460.RUMTOR_01612	CL:52	411460
411460.RUMTOR_01612	CL:53	411460
411460.RUMTOR_01612	CL:55	411460
411460.RUMTOR_01612	CL:56	411460
411460.RUMTOR_01612	CL:585	411460
411460.RUMTOR_01612	CL:586	411460
411460.RUMTOR_01612	CL:59	411460
411460.RUMTOR_01612	CL:60	411460
411460.RUMTOR_01612	CL:63	411460
411460.RUMTOR_01612	CL:64	411460
411460.RUMTOR_01612	CL:65	411460
411460.RUMTOR_01612	CL:66	411460
411460.RUMTOR_01612	CL:68	411460
411460.RUMTOR_01612	CL:70	411460
411460.RUMTOR_01612	CL:71	411460
411460.RUMTOR_01612	CL:73	411460
411460.RUMTOR_01612	CL:74	411460
411460.RUMTOR_01612	CL:43	411460
411460.RUMTOR_01612	CL:45	411460
411460.RUMTOR_01612	CL:47	411460
411460.RUMTOR_01612	CL:48	411460
411460.RUMTOR_01612	CL:49	411460
411460.RUMTOR_01612	CL:50	411460
411460.RUMTOR_01612	CL:54	411460
411460.RUMTOR_01612	CL:57	411460
411460.RUMTOR_01612	CL:58	411460
411460.RUMTOR_01612	CL:587	411460
411460.RUMTOR_01612	CL:61	411460
411460.RUMTOR_01612	CL:62	411460
411460.RUMTOR_01612	CL:67	411460
411460.RUMTOR_01612	CL:69	411460
411460.RUMTOR_01612	CL:72	411460
411460.RUMTOR_01428	CL:13	411460
411460.RUMTOR_01428	CL:0	411460
411460.RUMTOR_01428	CL:113	411460
411460.RUMTOR_01428	CL:114	411460
411460.RUMTOR_01428	CL:35	411460
411460.RUMTOR_01428	CL:15	411460
411460.RUMTOR_01428	CL:19	411460
411460.RUMTOR_01428	CL:22	411460
411460.RUMTOR_01428	CL:25	411460
411460.RUMTOR_01428	CL:31	411460
411460.RUMTOR_01428	CL:28	411460
411460.RUMTOR_01428	CL:33	411460
411460.RUMTOR_01428	CL:40	411460
411460.RUMTOR_01428	CL:37	411460
411460.RUMTOR_01428	CL:38	411460
411460.RUMTOR_01428	CL:39	411460
411460.RUMTOR_01428	CL:41	411460
411460.RUMTOR_01428	CL:42	411460
411460.RUMTOR_01428	CL:45	411460
411460.RUMTOR_01428	CL:43	411460
411460.RUMTOR_01428	CL:44	411460
411460.RUMTOR_01428	CL:47	411460
411460.RUMTOR_01428	CL:68	411460
411460.RUMTOR_01428	CL:53	411460
411460.RUMTOR_01428	CL:54	411460
411460.RUMTOR_01428	CL:55	411460
411460.RUMTOR_01428	CL:56	411460
411460.RUMTOR_01428	CL:57	411460
411460.RUMTOR_01428	CL:61	411460
411460.RUMTOR_01428	CL:62	411460
411460.RUMTOR_01428	CL:66	411460
411460.RUMTOR_01428	CL:48	411460
411460.RUMTOR_01428	CL:49	411460
411460.RUMTOR_01428	CL:50	411460
411460.RUMTOR_01428	CL:51	411460
411460.RUMTOR_01428	CL:52	411460
411460.RUMTOR_01428	CL:58	411460
411460.RUMTOR_01428	CL:59	411460
411460.RUMTOR_01428	CL:60	411460
411460.RUMTOR_01428	CL:63	411460
411460.RUMTOR_01428	CL:64	411460
411460.RUMTOR_01428	CL:65	411460
411460.RUMTOR_01428	CL:67	411460
411460.RUMTOR_01428	CL:73	411460
411460.RUMTOR_01428	CL:69	411460
411460.RUMTOR_01428	CL:70	411460
411460.RUMTOR_01428	CL:71	411460
411460.RUMTOR_01428	CL:72	411460
411460.RUMTOR_01428	CL:74	411460
411460.RUMTOR_01428	CL:76	411460
411460.RUMTOR_01428	CL:75	411460
411460.RUMTOR_01428	CL:78	411460
411460.RUMTOR_01428	CL:77	411460
411460.RUMTOR_01428	CL:79	411460
411460.RUMTOR_01428	CL:80	411460
411460.RUMTOR_01428	CL:81	411460
411460.RUMTOR_01174	CL:19	411460
411460.RUMTOR_01174	CL:0	411460
411460.RUMTOR_01174	CL:13	411460
411460.RUMTOR_01174	CL:15	411460
411460.RUMTOR_01174	CL:2701	411460
411460.RUMTOR_01174	CL:25	411460
411460.RUMTOR_01174	CL:22	411460
411460.RUMTOR_01174	CL:2707	411460
411460.RUMTOR_01174	CL:2700	411460
411460.RUMTOR_01174	CL:2704	411460
411460.RUMTOR_01174	CL:2706	411460
411460.RUMTOR_01174	CL:2702	411460
411460.RUMTOR_01174	CL:2718	411460
411460.RUMTOR_01174	CL:2708	411460
411460.RUMTOR_01174	CL:2712	411460
411460.RUMTOR_01174	CL:2721	411460
411460.RUMTOR_01174	CL:2713	411460
411460.RUMTOR_01174	CL:2709	411460
411460.RUMTOR_01174	CL:2724	411460
411460.RUMTOR_01174	CL:2725	411460
411460.RUMTOR_01174	CL:2715	411460
411460.RUMTOR_01174	CL:35	411460
411460.RUMTOR_01174	CL:31	411460
411460.RUMTOR_01174	CL:28	411460
411460.RUMTOR_01174	CL:33	411460
411460.RUMTOR_01174	CL:39	411460
411460.RUMTOR_01174	CL:37	411460
411460.RUMTOR_01174	CL:38	411460
411460.RUMTOR_01174	CL:43	411460
411460.RUMTOR_01174	CL:40	411460
411460.RUMTOR_01174	CL:41	411460
411460.RUMTOR_01174	CL:42	411460
411460.RUMTOR_01174	CL:49	411460
411460.RUMTOR_01174	CL:44	411460
411460.RUMTOR_01174	CL:45	411460
411460.RUMTOR_01174	CL:47	411460
411460.RUMTOR_01174	CL:48	411460
411460.RUMTOR_01174	CL:50	411460
411460.RUMTOR_01174	CL:52	411460
411460.RUMTOR_01174	CL:54	411460
411460.RUMTOR_01174	CL:55	411460
411460.RUMTOR_01174	CL:51	411460
411460.RUMTOR_01174	CL:53	411460
411460.RUMTOR_01174	CL:56	411460
411460.RUMTOR_01201	CL:13	411460
411460.RUMTOR_01201	CL:0	411460
411460.RUMTOR_01201	CL:15	411460
411460.RUMTOR_01201	CL:19	411460
411460.RUMTOR_01201	CL:22	411460
411460.RUMTOR_01201	CL:3453	411460
411460.RUMTOR_01201	CL:25	411460
411460.RUMTOR_01201	CL:33	411460
411460.RUMTOR_01201	CL:28	411460
411460.RUMTOR_01201	CL:31	411460
411460.RUMTOR_01201	CL:3448	411460
411460.RUMTOR_01201	CL:3455	411460
411460.RUMTOR_01201	CL:41	411460
411460.RUMTOR_01201	CL:3449	411460
411460.RUMTOR_01201	CL:3451	411460
411460.RUMTOR_01201	CL:40	411460
411460.RUMTOR_01201	CL:3447	411460
411460.RUMTOR_01201	CL:35	411460
411460.RUMTOR_01201	CL:37	411460
411460.RUMTOR_01201	CL:38	411460
411460.RUMTOR_01201	CL:39	411460
411460.RUMTOR_01201	CL:48	411460
411460.RUMTOR_01201	CL:43	411460
411460.RUMTOR_01201	CL:42	411460
411460.RUMTOR_01201	CL:44	411460
411460.RUMTOR_01201	CL:45	411460
411460.RUMTOR_01201	CL:47	411460
411460.RUMTOR_01201	CL:53	411460
411460.RUMTOR_01201	CL:50	411460
411460.RUMTOR_01201	CL:51	411460
411460.RUMTOR_01201	CL:52	411460
411460.RUMTOR_01201	CL:49	411460
411460.RUMTOR_01051	CL:1960	411460
411460.RUMTOR_01051	CL:0	411460
411460.RUMTOR_01051	CL:19	411460
411460.RUMTOR_01051	CL:1961	411460
411460.RUMTOR_01051	CL:1963	411460
411460.RUMTOR_01051	CL:13	411460
411460.RUMTOR_01051	CL:15	411460
411460.RUMTOR_01051	CL:25	411460
411460.RUMTOR_01051	CL:22	411460
411460.RUMTOR_01051	CL:28	411460
411460.RUMTOR_01051	CL:35	411460
411460.RUMTOR_01051	CL:55	411460
411460.RUMTOR_01051	CL:58	411460
411460.RUMTOR_01051	CL:59	411460
411460.RUMTOR_01051	CL:61	411460
411460.RUMTOR_01051	CL:64	411460
411460.RUMTOR_01051	CL:65	411460
411460.RUMTOR_01051	CL:66	411460
411460.RUMTOR_01051	CL:31	411460
411460.RUMTOR_01051	CL:33	411460
411460.RUMTOR_01051	CL:37	411460
411460.RUMTOR_01051	CL:38	411460
411460.RUMTOR_01051	CL:39	411460
411460.RUMTOR_01051	CL:40	411460
411460.RUMTOR_01051	CL:41	411460
411460.RUMTOR_01051	CL:42	411460
411460.RUMTOR_01051	CL:43	411460
411460.RUMTOR_01051	CL:44	411460
411460.RUMTOR_01051	CL:45	411460
411460.RUMTOR_01051	CL:47	411460
411460.RUMTOR_01051	CL:48	411460
411460.RUMTOR_01051	CL:49	411460
411460.RUMTOR_01051	CL:50	411460
411460.RUMTOR_01051	CL:51	411460
411460.RUMTOR_01051	CL:52	411460
411460.RUMTOR_01051	CL:53	411460
411460.RUMTOR_01051	CL:54	411460
411460.RUMTOR_01051	CL:56	411460
411460.RUMTOR_01051	CL:57	411460
411460.RUMTOR_01051	CL:60	411460
411460.RUMTOR_01051	CL:62	411460
411460.RUMTOR_01051	CL:63	411460
411460.RUMTOR_01142	CL:15	411460
411460.RUMTOR_01142	CL:0	411460
411460.RUMTOR_01142	CL:13	411460
411460.RUMTOR_01142	CL:28	411460
411460.RUMTOR_01142	CL:19	411460
411460.RUMTOR_01142	CL:25	411460
411460.RUMTOR_01142	CL:22	411460
411460.RUMTOR_01142	CL:40	411460
411460.RUMTOR_01142	CL:31	411460
411460.RUMTOR_01142	CL:35	411460
411460.RUMTOR_01142	CL:37	411460
411460.RUMTOR_01142	CL:38	411460
411460.RUMTOR_01142	CL:39	411460
411460.RUMTOR_01142	CL:33	411460
411460.RUMTOR_01142	CL:44	411460
411460.RUMTOR_01142	CL:43	411460
411460.RUMTOR_01142	CL:41	411460
411460.RUMTOR_01142	CL:42	411460
411460.RUMTOR_01142	CL:45	411460
411460.RUMTOR_01142	CL:47	411460
411460.RUMTOR_01142	CL:49	411460
411460.RUMTOR_01142	CL:48	411460
411460.RUMTOR_01142	CL:51	411460
411460.RUMTOR_01142	CL:50	411460
411460.RUMTOR_01142	CL:55	411460
411460.RUMTOR_01142	CL:52	411460
411460.RUMTOR_01142	CL:54	411460
411460.RUMTOR_01142	CL:53	411460
411460.RUMTOR_01142	CL:58	411460
411460.RUMTOR_01142	CL:56	411460
411460.RUMTOR_01142	CL:57	411460
411460.RUMTOR_01142	CL:60	411460
411460.RUMTOR_01142	CL:59	411460
411460.RUMTOR_01142	CL:66	411460
411460.RUMTOR_01142	CL:61	411460
411460.RUMTOR_01142	CL:65	411460
411460.RUMTOR_01142	CL:62	411460
411460.RUMTOR_01142	CL:63	411460
411460.RUMTOR_01142	CL:64	411460
411460.RUMTOR_01142	CL:70	411460
411460.RUMTOR_01142	CL:68	411460
411460.RUMTOR_01142	CL:69	411460
411460.RUMTOR_01142	CL:67	411460
411460.RUMTOR_01142	CL:830	411460
411460.RUMTOR_01142	CL:71	411460
411460.RUMTOR_01142	CL:828	411460
411460.RUMTOR_01142	CL:829	411460
411460.RUMTOR_01142	CL:72	411460
411460.RUMTOR_01142	CL:826	411460
411460.RUMTOR_01142	CL:827	411460
411460.RUMTOR_01142	CL:834	411460
411460.RUMTOR_01142	CL:831	411460
411460.RUMTOR_01142	CL:832	411460
411460.RUMTOR_01142	CL:836	411460
411460.RUMTOR_01142	CL:835	411460
411460.RUMTOR_01142	CL:838	411460
411460.RUMTOR_01142	CL:837	411460
411460.RUMTOR_01142	CL:840	411460
411460.RUMTOR_01142	CL:839	411460
411460.RUMTOR_01142	CL:845	411460
411460.RUMTOR_01142	CL:842	411460
411460.RUMTOR_01142	CL:844	411460
411460.RUMTOR_01142	CL:841	411460
411460.RUMTOR_01142	CL:846	411460
411460.RUMTOR_01142	CL:848	411460
411460.RUMTOR_01142	CL:857	411460
411460.RUMTOR_01142	CL:858	411460
411460.RUMTOR_01142	CL:859	411460
411460.RUMTOR_01142	CL:853	411460
411460.RUMTOR_01142	CL:855	411460
411460.RUMTOR_00795	CL:33	411460
411460.RUMTOR_00795	CL:13	411460
411460.RUMTOR_00795	CL:15	411460
411460.RUMTOR_00795	CL:22	411460
411460.RUMTOR_00795	CL:25	411460
411460.RUMTOR_00795	CL:0	411460
411460.RUMTOR_00795	CL:19	411460
