cluster	taxidmembers
ENOG4105CEY	370438,335541,
ENOG4107WBH	314231,
ENOG4106Q5Z	335543,
ENOG4106GKD	386043,
ENOG4105DRV	196162,
ENOG4107UF6	203119,
ENOG4108IMY	203119,
ENOG4105CYX	388399,
ENOG4105RZ8	369723,
ENOG41064FP	411462,411459,411460,
ENOG41067YX	411463,411460,
ENOG4105CDF	411460,
ENOG4108UM5	411460,
ENOG4107QM1	411460,
ENOG4108KPW	411460,
ENOG4105CU6	411460,
ENOG4107ERB	411460,
ENOG4107WVT	411460,
ENOG4105VWN	411460,
ENOG4105KQV	411460,411462,
ENOG4105MS2	411460,
ENOG4105NZF	411460,
ENOG4105ESP	411460,
ENOG4105HYF	411460,
ENOG4105CVG	411460,
ENOG4108IIG	370438,
ENOG4105CEY	370438,335541,
ENOG4107WWN	370438,
ENOG4106P6C	431943,
ENOG4105C27	411901,435590,
ENOG4107T01	411901,
ENOG4105DVB	411901,
ENOG410631E	
ENOG4105H61	411463,
ENOG4108PXN	411463,
ENOG4105GI3	411463,
ENOG4106YC6	411463,
ENOG4105VG0	411462,411463,
ENOG4105D0X	411463,
ENOG410909I	411463,
ENOG4105C98	411463,
ENOG41067YX	411463,411460,
ENOG4105CWX	411463,
ENOG4106DZ8	411462,411462,411463,411463,
ENOG4106DZ8	411462,411462,411463,411463,
ENOG4106DZ8	411462,411462,411463,411463,
ENOG4105XTT	411462,
ENOG41064FP	411462,411459,411460,
ENOG4105KQV	411460,411462,
ENOG4105BZG	411462,
ENOG4105C3X	411462,
ENOG4105CZ8	411462,
ENOG4105VG0	411462,411463,
ENOG41082DI	411462,
ENOG4105MA9	411462,
ENOG4105KD4	411462,
ENOG4105D8H	411462,
ENOG4105C77	411462,
ENOG4105CUK	411462,
ENOG4108ZKN	411462,
ENOG4105ZTF	411462,
ENOG4105E8X	411459,
ENOG4107UU7	411459,
ENOG41082SA	411459,
ENOG410908R	411459,
ENOG41072YN	411459,
ENOG41064FP	411462,411459,411460,
ENOG4105EX2	411459,
ENOG4107QW3	411459,
ENOG4108K02	411459,
ENOG4105KRC	411459,
ENOG41067TY	411459,
ENOG4105XDK	411459,
ENOG4105KNY	411459,
ENOG4105E5Q	411459,
ENOG4105C2J	411459,
ENOG4107QTR	411459,
ENOG4105DDS	411459,
ENOG4105CX7	290402,
ENOG4105GR1	
ENOG4105E97	290402,
ENOG4105C27	411901,435590,
ENOG4105CEY	370438,335541,
ENOG4107WBH	314231,
ENOG4106Q5Z	335543,
ENOG4106GKD	386043,
ENOG4105DRV	196162,
ENOG4107UF6	203119,
ENOG4108IMY	203119,
